ケガ内容,判断,欠場期間の参考,
右肩関節脱臼,7節,"保存療法（手術なし）の場合：約1.5ヶ月〜2ヶ月
欠場節数の目安： 約6節〜10節前後",
右足関節遊離体,9節,"通称「関節ねずみ」
標準的な復帰の場合（約2ヶ月〜）： 約8〜10節",
眼窩底骨折,5節,"約4週〜8週（1ヶ月〜2ヶ月）
　・保存療法（手術なし）の場合：約4週間（4〜5節）
　・手術を行う場合：約6〜8週間（6〜10節以上）",
公式 右膝蓋骨骨折及び右膝蓋腱部分断裂,28節,欠場節の予想：今季絶望の可能性が高い（全治6ヶ月〜8ヶ月以上）,
右膝外側半月板断裂,12節,"・切除術（傷んだ部分を切り取る）の場合：約2ヶ月〜3ヶ月
　欠場節数の目安：約8節〜12節
・縫合術（傷んだ部分を縫い合わせる）の場合：約5ヶ月〜7ヶ月
　欠場節数の目安：約20節〜25節（今季絶望に近い）",
右腓腹筋肉離れ,6節,"ふくらはぎ
Ⅰ型（軽症）	筋細胞の微細損傷・出血	約1〜2週間
Ⅱ型（中等症）	部分断裂（筋肉と腱の境界部が多い）	約4〜6週間
Ⅲ型（重症）	完全断裂または広範囲な損傷	約2〜3ヶ月以上",
下腿三頭筋損傷,6節,腓腹筋・ヒラメ筋を含む。,
右手舟状骨骨折,10節,"ギプス固定だけでも1ヶ月〜2ヶ月近く。
手術の選択： 早期復帰を目指すJリーガーの場合、全治2〜3ヶ月、あるいはそれ以上",
膝関節軟骨損傷,24節,軽度の洗浄術（クリーニング）なら数ヶ月ですが、軟骨を修復・移植する手術（自己軟骨移植など）を行った場合、復帰までに半年から1年以上かかることも,
前十字靭帯損傷,28節,"手術（再建術）	プロ選手や競技復帰を望む場合	約8ヶ月 〜 10ヶ月
保存療法（リハビリ）	部分断裂で強度が保たれている場合	約3ヶ月 〜 6ヶ月
一例：全治8カ月",
後十字靭帯損傷,24節,"膝の後方にある靭帯ですが、こちらは前十字に比べると血流が少しあり、保存療法で治せるケースも多いです。
軽度〜中等度: 約2ヶ月 〜 4ヶ月
重度（手術の場合）: 約6ヶ月 〜 9ヶ月以上",
右膝内側側副靭帯損傷,8節,"グレードI（軽症）	2〜3週間
グレードII（中等症）	6〜8週間
グレードIII（重症）	3ヶ月以上",
大内転筋肉離れ,8節,"軽症（Ⅰ型）	筋肉の微細損傷（違和感程度）	1〜2週間
中等症（Ⅱ型）	筋膜・筋腹の部分断裂	4〜8週間（1〜2ヶ月）
重症（Ⅲ型）	完全断裂や腱の剥離	3ヶ月以上",
左下腿三頭筋肉離れ,7節,"腓腹筋（ひふくきん）	表面の筋肉。瞬発的な動作で「プチッ」と鳴ることが多い。	約3〜6週間
ヒラメ筋	奥の筋肉。鈍い痛みが多く、完治に時間がかかる傾向。	約4〜8週間",
右肩関節脱臼,12節,"保存療法（初発）	初めての脱臼で、骨折や大きな損傷がない場合	約1.5ヶ月 〜 3ヶ月
手術療法（再建術）	反復性脱臼や、関節唇（かんせつしん）が損傷している場合	約4ヶ月 〜 6ヶ月",
関節外側靱帯損傷,6節,"膝の場合：

足首の場合：
度（軽症）	靭帯が伸びる程度（微細損傷）	約1〜2週間
度（中等症）	靭帯の一部が切れている	約3〜6週間（1ヶ月前後）
度（重症）	靭帯が完全に断裂している	約2ヶ月〜3ヶ月（要手術も）",
左第5中足骨疲労骨折,12節,"手術療法（ボルト固定）	プロ選手、早期・確実な復帰を目指す場合	約2ヶ月 〜 3ヶ月
保存療法（ギプス固定）	骨のズレが少なく、休養期間を長く取れる場合	約3ヶ月 〜 4ヶ月以上",
右母指中手骨基部骨折,6節,"保存療法（固定）	骨のズレが小さく、ギプスや装具で固定する場合	約4〜6週間（1ヶ月〜1.5ヶ月）
手術療法（ピン固定）	骨がズレている場合（ベネット骨折など）	約6〜8週間（1.5ヶ月〜2ヶ月）",
右第5肋骨骨折,5節,"ひび（不全骨折）	骨がズレておらず、亀裂のみ	約3〜4週間
完全骨折（1本）	骨が完全に折れているが、ズレが少ない	約4〜6週間（1ヶ月〜1.5ヶ月）
複数本の骨折	第5だけでなく、第4や第6も同時に骨折	約6〜8週間以上",
